departamento,fecha,ndvi_medio
Cundinamarca,2022-09-14,0.6219732961022929
Guainia,2022-09-14,0.663654602844825
Guajira,2022-09-14,0.5940261374984307
Guaviare,2022-09-14,0.7359118045267611
Huila,2022-09-14,0.673115577446319
Magdalena,2022-09-14,0.690612147626728
Meta,2022-09-14,0.6718910358198491
Narino,2022-09-14,0.5785726828074519
Norte De Santander,2022-09-14,0.6964215447140835
Putumayo,2022-09-14,0.7775615367782351
Quindio,2022-09-14,0.5706500461539282
Risaralda,2022-09-14,0.5673097523945051
Santander,2022-09-14,0.6838795392922888
Sucre,2022-09-14,0.5805867220755577
Tolima,2022-09-14,0.6465964656545566
Valle Del Cauca,2022-09-14,0.5834314184424947
Vaupes,2022-09-14,0.7094398882988395
Vichada,2022-09-14,0.6158311565350617
Amazonas,2022-09-30,0.5062339749766773
Antioquia,2022-09-30,0.6231850662378623
Arauca,2022-09-30,0.6004106397006757
Atlantico,2022-09-30,0.7189745761246598
Bolivar,2022-09-30,0.65790820685955
Boyaca,2022-09-30,0.5900048142156614
Caldas,2022-09-30,0.6644541071643943
Caqueta,2022-09-30,0.7385086481843238
Casanare,2022-09-30,0.5941376623014196
Cauca,2022-09-30,0.6691232725900971
Cesar,2022-09-30,0.6100210465192806
Choco,2022-09-30,0.5291197316440956
Cordoba,2022-09-30,0.5483402135174843
Cundinamarca,2022-09-30,0.6007903573172465
Guainia,2022-09-30,0.6443616017683906
Guajira,2022-09-30,0.6299568973221794
Guaviare,2022-09-30,0.7460535136905746
Huila,2022-09-30,0.6464035855788316
Magdalena,2022-09-30,0.6450658991667404
Meta,2022-09-30,0.6709870522746808
Narino,2022-09-30,0.5457475214209918
Norte De Santander,2022-09-30,0.7303691738975403
Putumayo,2022-09-30,0.7584107648028027
Quindio,2022-09-30,0.5202546868351752
Risaralda,2022-09-30,0.6271368370844813
Santander,2022-09-30,0.6835632545954765
Sucre,2022-09-30,0.5479229835464999
Tolima,2022-09-30,0.6787025563646704
Valle Del Cauca,2022-09-30,0.5665526880915143
Vaupes,2022-09-30,0.7157024035248357
Vichada,2022-09-30,0.5743427020778268
Amazonas,2022-10-16,0.4490529240954458
Antioquia,2022-10-16,0.5984368227139051
Arauca,2022-10-16,0.5142081533344148
Atlantico,2022-10-16,0.6821199199820255
Bolivar,2022-10-16,0.6875574519701665
Boyaca,2022-10-16,0.6678450032916102
Caldas,2022-10-16,0.5104594067738385
Caqueta,2022-10-16,0.7306970677580397
Casanare,2022-10-16,0.5873730262403412
Cauca,2022-10-16,0.5026522754127554
Cesar,2022-10-16,0.7209265362558586
Choco,2022-10-16,0.5670657406197476
Cordoba,2022-10-16,0.6524846087666963
Cundinamarca,2022-10-16,0.579250528225128
Guainia,2022-10-16,0.4853342626843129
Guajira,2022-10-16,0.6099584345128579
Guaviare,2022-10-16,0.6528222865635803
Huila,2022-10-16,0.3721258919116699
Magdalena,2022-10-16,0.6794143687069895
Meta,2022-10-16,0.6298581138812643
Narino,2022-10-16,0.5205676310337832
Norte De Santander,2022-10-16,0.6367448249666016
Putumayo,2022-10-16,0.6587403950482503
Quindio,2022-10-16,0.5475520363718324
Risaralda,2022-10-16,0.5529951599438221
Santander,2022-10-16,0.6898649287605055
Sucre,2022-10-16,0.6429761158992813
Tolima,2022-10-16,0.4645732303854838
Valle Del Cauca,2022-10-16,0.5069316057720934
Vaupes,2022-10-16,0.5460766084009435
Vichada,2022-10-16,0.5264937239744617
Amazonas,2022-11-01,0.5129321350169883
Antioquia,2022-11-01,0.6354778074539428
Arauca,2022-11-01,0.6478590074571332
Atlantico,2022-11-01,0.7046465509338296
Bolivar,2022-11-01,0.5990242256991888
Boyaca,2022-11-01,0.6117774208560499
Caldas,2022-11-01,0.6213991834884169
Caqueta,2022-11-01,0.7559327158388124
Casanare,2022-11-01,0.6468007459532785
Cauca,2022-11-01,0.5820161029384566
Cesar,2022-11-01,0.6168511322366059
Choco,2022-11-01,0.5457206465906189
Cordoba,2022-11-01,0.6564194065228508
Cundinamarca,2022-11-01,0.5491484028079909
Guainia,2022-11-01,0.6496324111197501
Guajira,2022-11-01,0.6127918397797938
Guaviare,2022-11-01,0.7499417061986573
Huila,2022-11-01,0.6644158235763699
Magdalena,2022-11-01,0.6621051123959869
Meta,2022-11-01,0.681565402624877
Narino,2022-11-01,0.5508577633097694
Norte De Santander,2022-11-01,0.5927754413688883
Putumayo,2022-11-01,0.7915747455865019
Quindio,2022-11-01,0.6333216589032604
Risaralda,2022-11-01,0.6430570758210705
Santander,2022-11-01,0.6310483252881488
Sucre,2022-11-01,0.5160532196488835
Tolima,2022-11-01,0.5679526382531942
Valle Del Cauca,2022-11-01,0.5843317802956314
Vaupes,2022-11-01,0.6719988152550894
Vichada,2022-11-01,0.5795118339962286
Amazonas,2022-11-17,0.4831925934332147
Antioquia,2022-11-17,0.6807008217335279
Arauca,2022-11-17,0.6562730146405427
Atlantico,2022-11-17,0.7276241454342696
Bolivar,2022-11-17,0.7106206958177278
Boyaca,2022-11-17,0.717694752848096
Caldas,2022-11-17,0.7173289748130713
Caqueta,2022-11-17,0.7290741478495681
Casanare,2022-11-17,0.6483594989138536
Cauca,2022-11-17,0.6453241994659399
Cesar,2022-11-17,0.7440226689779151
Choco,2022-11-17,0.5892050291380764
Cordoba,2022-11-17,0.722786981179258
Cundinamarca,2022-11-17,0.7008599348416511
Guainia,2022-11-17,0.6332985131192608
Guajira,2022-11-17,0.6725171647489094
Guaviare,2022-11-17,0.6815256885949171
Huila,2022-11-17,0.6312750440537297
Magdalena,2022-11-17,0.7383533903488525
Meta,2022-11-17,0.6695284072555142
Narino,2022-11-17,0.5439817417532669
Norte De Santander,2022-11-17,0.6587354467965263
